"RoleName","UserPrincipalName","DisplayName","Source"
"Application Developer",,,"Cloud-only account"
"Privileged Role Administrator",,,"Cloud-only account"
"Billing Administrator",,,"Cloud-only account"
"Billing Administrator",,,"Cloud-only account"
"Password Administrator",,,"Cloud-only account"
"Exchange Administrator",,,"Cloud-only account"
"Exchange Administrator",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Global Reader",,,"Cloud-only account"
"Cloud App Security Administrator",,,"Cloud-only account"
"Privileged Authentication Administrator",,,"Cloud-only account"
"Service Support Administrator",,,"Cloud-only account"
"Authentication Policy Administrator",,,"Cloud-only account"
"Compliance Administrator",,,"Cloud-only account"
"Application Administrator",,,"Cloud-only account"
"Application Administrator",,,"Cloud-only account"
"Security Reader",,,"Cloud-only account"
"Security Reader",,,"Cloud-only account"
"Exchange Recipient Administrator",,,"Cloud-only account"
"SharePoint Administrator",,,"Cloud-only account"
"Domain Name Administrator",,,"Cloud-only account"
"External Identity Provider Administrator",,,"Cloud-only account"
"Identity Governance Administrator",,,"Cloud-only account"
"Azure AD Joined Device Local Administrator",,,"Cloud-only account"
"Cloud Application Administrator",,,"Cloud-only account"
"Conditional Access Administrator",,,"Cloud-only account"
"Conditional Access Administrator",,,"Cloud-only account"
"Helpdesk Administrator",,,"Cloud-only account"
"External ID User Flow Administrator",,,"Cloud-only account"
"User Administrator",,,"Cloud-only account"
"User Administrator",,,"Cloud-only account"
"User Administrator",,,"Cloud-only account"
"User Administrator",,,"Cloud-only account"
"Intune Administrator",,,"Cloud-only account"
"Intune Administrator",,,"Cloud-only account"
"Security Operator",,,"Cloud-only account"
"Groups Administrator",,,"Cloud-only account"
"Groups Administrator",,,"Cloud-only account"
"License Administrator",,,"Cloud-only account"
"Teams Administrator",,,"Cloud-only account"
"Security Administrator",,,"Cloud-only account"
"Security Administrator",,,"Cloud-only account"
"Security Administrator",,,"Cloud-only account"
"Security Administrator",,,"Cloud-only account"
"Edge Administrator",,,"Cloud-only account"
"Power Platform Administrator",,,"Cloud-only account"
"Office Apps Administrator",,,"Cloud-only account"
"Global Administrator",,,"Cloud-only account"
"Global Administrator",,,"Cloud-only account"
"Global Administrator",,,"Cloud-only account"
"Global Administrator",,,"Cloud-only account"
"Global Administrator",,,"Cloud-only account"
"Authentication Administrator",,,"Cloud-only account"
"Authentication Administrator",,,"Cloud-only account"
"Authentication Administrator",,,"Cloud-only account"
