"TableName","RetentionInDays","TotalRetentionInDays"
"ConfigurationData","30","31"
"ConfigurationChange","30","31"
"UpdateSummary","30","31"
"Update","30","31"
"UpdateAgent","30","31"
"RequiredUpdate","30","31"
"UpdateRunProgress","30","31"
"InsightsMetrics","30","31"
"VMConnection","30","31"
"VMProcess","30","31"
"HealthStateChangeEvent","30","31"
"VMBoundPort","30","31"
"VMComputer","30","31"
"SecurityBaselineSummary","30","31"
"SecurityBaseline","30","31"
"MaliciousIPCommunication","30","31"
"SysmonEvent","30","31"
"SecurityDetection","30","31"
"WindowsFirewall","30","31"
"HuntingBookmarks","30","31"
"ProtectionStatus","30","31"
"SecureScoreControls","30","31"
"SecureScores","30","31"
"SecurityRegulatoryCompliance","30","31"
"SecurityEvent","30","31"
"SecurityRecommendation","30","31"
"SecurityNestedRecommendation","30","31"
"LinuxAuditLog","30","31"
"SecurityAlert","30","31"
"SecurityAttackPathData","30","31"
"CommonSecurityLog","30","31"
"McasShadowItReporting","30","31"
"Dynamics365Activity","30","31"
"NetworkSessions","30","31"
"SentinelHealth","30","31"
"Anomalies","30","31"
"HuntingBookmark","30","31"
"AWSVPCFlow","30","31"
"AWSGuardDuty","30","31"
"DeviceTvmSecureConfigurationAssessment","30","31"
"DeviceTvmSoftwareInventory","30","31"
"DeviceTvmSoftwareVulnerabilities","30","31"
"EmailPostDeliveryEvents","30","31"
"EmailUrlInfo","30","31"
"DeviceFileCertificateInfo","30","31"
"Watchlist","30","31"
"ConfidentialWatchlist","30","31"
"IdentityQueryEvents","30","31"
"IdentityDirectoryEvents","30","31"
"UrlClickEvents","30","31"
"MicrosoftPurviewInformationProtection","30","31"
"DynamicSummary","30","31"
"IdentityLogonEvents","30","31"
"CloudAppEvents","30","31"
"ProjectActivity","30","31"
"PowerBIActivity","30","31"
"SecurityIncident","30","31"
"OfficeActivity","30","31"
"AlertEvidence","30","31"
"AlertInfo","30","31"
"EmailEvents","30","31"
"DeviceNetworkInfo","30","31"
"DeviceFileEvents","30","31"
"DeviceEvents","30","31"
"ASimDnsActivityLogs","30","31"
"EmailAttachmentInfo","30","31"
"DeviceTvmSoftwareVulnerabilitiesKB","30","31"
"DeviceTvmSecureConfigurationAssessmentKB","30","31"
"WindowsEvent","30","31"
"DeviceNetworkEvents","30","31"
"DeviceProcessEvents","30","31"
"DeviceRegistryEvents","30","31"
"ASimWebSessionLogs","30","31"
"PowerAutomateActivity","30","31"
"PowerPlatformDlpActivity","30","31"
"GCPAuditLogs","30","31"
"DeviceInfo","30","31"
"DeviceImageLoadEvents","30","31"
"SentinelAudit","30","31"
"GoogleCloudSCC","30","31"
"ASimDhcpEventLogs","30","31"
"ASimRegistryEventLogs","30","31"
"ASimNetworkSessionLogs","30","31"
"ASimProcessEventLogs","30","31"
"DataverseActivity","30","31"
"AWSCloudWatch","30","31"
"ThreatIntelligenceIndicator","30","31"
"AWSCloudTrail","30","31"
"DnsEvents","30","31"
"DnsInventory","30","31"
"PowerAppsActivity","30","31"
"PowerPlatformAdminActivity","30","31"
"ASimFileEventLogs","30","31"
"ASimUserManagementActivityLogs","30","31"
"ASimAuditEventLogs","30","31"
"ASimAuthenticationEventLogs","30","31"
"PowerPlatformConnectorActivity","30","31"
"DeviceLogonEvents","30","31"
"UserAccessAnalytics","30","31"
"UserPeerAnalytics","30","31"
"BehaviorAnalytics","30","31"
"IdentityInfo","30","31"
"DatabricksTables","30","31"
"BlockchainProxyLog","30","31"
"BlockchainApplicationLog","30","31"
"OmsCustomerProfileFact","30","31"
"ComputerGroup","30","31"
"W3CIISLog","30","31"
"ServiceFabricReliableServiceEvent","30","31"
"ServiceFabricReliableActorEvent","30","31"
"ServiceFabricOperationalEvent","30","31"
"ETWEvent","30","31"
"ReservedCommonFields","30","31"
"AzureMetrics","30","31"
"Usage","30","31"
"Operation","30","31"
"Perf","30","31"
"AppCenterError","30","31"
"IntuneOperationalLogs","30","31"
"IntuneAuditLogs","30","31"
"AmlComputeClusterNodeEvent","30","31"
"BaiClusterNodeEvent","30","31"
"AppServiceEnvironmentPlatformLogs","30","31"
"ContainerRegistryLoginEvents","30","31"
"MicrosoftDynamicsTelemetrySystemMetricsLogs","30","31"
"MicrosoftDynamicsTelemetryPerformanceLogs","30","31"
"AppServiceAuditLogs","30","31"
"BaiClusterEvent","30","31"
"AmlComputeClusterEvent","30","31"
"BaiJobEvent","30","31"
"AmlComputeJobEvent","30","31"
"MicrosoftHealthcareApisAuditLogs","30","31"
"AppServiceFileAuditLogs","30","31"
"ContainerRegistryRepositoryEvents","30","31"
"AppServiceConsoleLogs","30","31"
"AppServiceAppLogs","30","31"
"AppAvailabilityResults","30","31"
"AppBrowserTimings","30","31"
"AppDependencies","30","31"
"AppEvents","30","31"
"AppExceptions","30","31"
"AppMetrics","30","31"
"AppPageViews","30","31"
"AppPerformanceCounters","30","31"
"AppRequests","30","31"
"AppSystemEvents","30","31"
"AppTraces","30","31"
"WVDCheckpoints","30","31"
"PowerBIDatasetsTenantPreview","30","31"
"PowerBIDatasetsWorkspacePreview","30","31"
