"Time","Message","Severity"
"5/10/2024 5:00 PM","Clearing existing Azure connection","Information"
"5/10/2024 5:00 PM","Clearing existing Azure context 
","Information"
"5/10/2024 5:00 PM","Clearing of existing connection and context completed.","Information"
"5/10/2024 5:01 PM","Working in Subscription: Thungela-Sentinel","Information"
"5/10/2024 5:01 PM","Listing Log Analytics workspace","Information"
"5/10/2024 5:01 PM","Retrieving tables from LA-SAN-ThungelaSentinel","Information"
"5/10/2024 5:42 PM","Table : AACAudit archive updated successfully to 730","Information"
"5/10/2024 5:42 PM","Table : AACHttpRequest archive updated successfully to 730","Information"
"5/10/2024 5:42 PM","Table : AADB2CRequestLogs archive updated successfully to 730","Information"
"5/10/2024 5:42 PM","Table : AADCustomSecurityAttributeAuditLogs archive updated successfully to 730","Information"
"5/10/2024 5:42 PM","Table : AADDomainServicesAccountLogon archive updated successfully to 730","Information"
"5/10/2024 5:42 PM","Table : AADDomainServicesAccountManagement archive updated successfully to 730","Information"
"5/10/2024 5:42 PM","Table : AADDomainServicesDirectoryServiceAccess archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADDomainServicesDNSAuditsDynamicUpdates archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADDomainServicesDNSAuditsGeneral archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADDomainServicesLogonLogoff archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADDomainServicesPolicyChange archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADDomainServicesPrivilegeUse archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADManagedIdentitySignInLogs archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADNonInteractiveUserSignInLogs archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADProvisioningLogs archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADRiskyServicePrincipals archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADRiskyUsers archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADServicePrincipalRiskEvents archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADServicePrincipalSignInLogs archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : AADUserRiskEvents archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : ABSBotRequests archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : ABSChannelToBotRequests archive updated successfully to 730","Information"
"5/10/2024 5:43 PM","Table : ABSDependenciesRequests archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACICollaborationAudit archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACRConnectedClientList archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSAuthIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallAutomationIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallAutomationMediaSummary archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallClientMediaStatsTimeSeries archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallClientOperations archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallClosedCaptionsSummary archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallDiagnostics archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallRecordingIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallRecordingSummary archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallSummary archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSCallSurvey archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSChatIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSEmailSendMailOperational archive updated successfully to 730","Information"
"5/10/2024 5:44 PM","Table : ACSEmailStatusUpdateOperational archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ACSEmailUserEngagementOperational archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ACSJobRouterIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ACSNetworkTraversalDiagnostics archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ACSNetworkTraversalIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ACSRoomsIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ACSSMSIncomingOperations archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ADAssessmentRecommendation archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : AddonAzureBackupAlerts archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : AddonAzureBackupJobs archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : AddonAzureBackupPolicy archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : AddonAzureBackupProtectedInstance archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : AddonAzureBackupStorage archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ADFActivityRun archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ADFAirflowSchedulerLogs archive updated successfully to 730","Information"
"5/10/2024 5:45 PM","Table : ADFAirflowTaskLogs archive updated successfully to 730","Information"
