"Timestamp","ProcessName","MemoryUsageMB"
"10/31/2024 12:08:11 PM","action1_agent","26.1"
"10/31/2024 12:08:11 PM","AggregatorHost","7.95"
"10/31/2024 12:08:11 PM","AnalyticsSrv","11.95"
"10/31/2024 12:08:11 PM","Code","70.76"
"10/31/2024 12:08:11 PM","Code","81.77"
"10/31/2024 12:08:11 PM","Code","29.45"
"10/31/2024 12:08:11 PM","Code","93.01"
"10/31/2024 12:08:11 PM","Code","229.52"
"10/31/2024 12:08:11 PM","Code","96.55"
"10/31/2024 12:08:11 PM","Code","98.35"
"10/31/2024 12:08:11 PM","Code","80.02"
"10/31/2024 12:08:11 PM","Code","41.81"
"10/31/2024 12:08:11 PM","Code","235"
"10/31/2024 12:08:11 PM","CodeSetup-stable-912bb683695358a54ae0c670461738984cbb5b95","12.34"
"10/31/2024 12:08:11 PM","CodeSetup-stable-912bb683695358a54ae0c670461738984cbb5b95.tmp","43.55"
"10/31/2024 12:08:11 PM","concentr","21.94"
"10/31/2024 12:08:11 PM","conhost","0.29"
"10/31/2024 12:08:11 PM","conhost","6.54"
"10/31/2024 12:08:11 PM","conhost","0.5"
"10/31/2024 12:08:11 PM","conhost","24.34"
"10/31/2024 12:08:11 PM","conhost","9.43"
"10/31/2024 12:08:11 PM","conhost","12.79"
"10/31/2024 12:08:11 PM","conhost","14.27"
"10/31/2024 12:08:11 PM","CrossDeviceService","73.13"
"10/31/2024 12:08:11 PM","csrss","5.42"
"10/31/2024 12:08:11 PM","csrss","4.98"
"10/31/2024 12:08:11 PM","csrss","7.11"
"10/31/2024 12:08:11 PM","ctfmon","24.36"
"10/31/2024 12:08:11 PM","DbxSvc","6.53"
"10/31/2024 12:08:11 PM","dllhost","22.39"
"10/31/2024 12:08:11 PM","DropboxCrashHandler","2.69"
"10/31/2024 12:08:11 PM","DropboxUpdate","5.05"
"10/31/2024 12:08:11 PM","dwm","41.77"
"10/31/2024 12:08:11 PM","dwm","108.28"
"10/31/2024 12:08:11 PM","explorer","247.25"
"10/31/2024 12:08:11 PM","FileSyncHelper","20.3"
"10/31/2024 12:08:11 PM","fontdrvhost","4.08"
"10/31/2024 12:08:11 PM","fontdrvhost","4.37"
"10/31/2024 12:08:11 PM","fontdrvhost","8.07"
"10/31/2024 12:08:11 PM","GitHubDesktop","87.07"
"10/31/2024 12:08:11 PM","GitHubDesktop","52.85"
"10/31/2024 12:08:11 PM","GitHubDesktop","43.91"
"10/31/2024 12:08:11 PM","GitHubDesktop","95.55"
"10/31/2024 12:08:11 PM","GlobalSecureAccessClient","80.49"
"10/31/2024 12:08:11 PM","GlobalSecureAccessManagementService","11.71"
"10/31/2024 12:08:11 PM","GlobalSecureAccessPolicyRetrieverService","78.6"
"10/31/2024 12:08:11 PM","GlobalSecureAccessTunnelingService","51.88"
"10/31/2024 12:08:11 PM","Idle","0.01"
"10/31/2024 12:08:11 PM","LogonUI","46.52"
"10/31/2024 12:08:11 PM","LsaIso","4.35"
"10/31/2024 12:08:11 PM","lsass","32.88"
"10/31/2024 12:08:11 PM","Memory Compression","0"
"10/31/2024 12:08:11 PM","MetricsExtension.Native","7.63"
"10/31/2024 12:08:11 PM","Microsoft.Management.Services.CloudManagedDesktop.Agent","110.18"
"10/31/2024 12:08:11 PM","Microsoft.Management.Services.IntuneWindowsAgent","121.07"
"10/31/2024 12:08:11 PM","Microsoft.SharePoint","73.36"
"10/31/2024 12:08:11 PM","MonAgentCore","26.74"
"10/31/2024 12:08:11 PM","MonAgentHost","0.17"
"10/31/2024 12:08:11 PM","MonAgentLauncher","0.14"
"10/31/2024 12:08:11 PM","MonAgentManager","7.21"
"10/31/2024 12:08:11 PM","MpDefenderCoreService","20.89"
"10/31/2024 12:08:11 PM","msedge","180.45"
"10/31/2024 12:08:11 PM","msedge","18.07"
"10/31/2024 12:08:11 PM","msedge","104.62"
"10/31/2024 12:08:11 PM","msedge","40.11"
"10/31/2024 12:08:11 PM","msedge","42.15"
"10/31/2024 12:08:11 PM","msedge","7.83"
"10/31/2024 12:08:11 PM","msedge","104.5"
"10/31/2024 12:08:11 PM","msedge","28.79"
"10/31/2024 12:08:11 PM","msedge","115.71"
"10/31/2024 12:08:11 PM","msedgewebview2","4.4"
"10/31/2024 12:08:11 PM","msedgewebview2","2.69"
"10/31/2024 12:08:11 PM","msedgewebview2","43.64"
"10/31/2024 12:08:11 PM","msedgewebview2","29.96"
"10/31/2024 12:08:11 PM","msedgewebview2","7.41"
"10/31/2024 12:08:11 PM","msedgewebview2","8.25"
"10/31/2024 12:08:11 PM","msedgewebview2","4.92"
